"Source:"	"C:\Users\marco\Documents\GitHub\Marshall\PCB\Alimentatore\MRAMP00_POWER\MRAMP00_PowerSupply\MRAMP00_PowerSupply.sch"
"Date:"	"20/11/2021 21:34:31"
"Tool:"	"Eeschema (5.1.10)-1"
"Component Count:"	"72"
"Ref"	"Value"	"PN"	"Description"	"Vendor"
"R17"	"470K"	"CRGP2512F470K"	"Resistor"	"M: 279-CRGP2512F470K"
"R18"	"470K"	"CRGP2512F470K"	"Resistor"	"M: 279-CRGP2512F470K"

"R19"	"1K"	"CRM1206A-FX-1001ELF"	"Resistor"	"M: 652-CRM1206AFX1001EL"
"R20"	"100R"	"CRGP2512F100R"	"Resistor"	"M: 279-CRGP2512F100R"
"R21"	"1K"	"CRM1206A-FX-1001ELF"	"Resistor"	"M: 652-CRM1206AFX1001EL"

"R22"	"680K"	"CRGP2512F680K"	"Resistor"	"M: 279-CRGP2512F680K"
"R23"	"680K"	"CRGP2512F680K"	"Resistor"	"M: 279-CRGP2512F680K"

"R24"	"3K3"	"CRCW12063K30FKTA"	"Resistor"	"M: 71-CRCW1206-3.3K"
"R25"	"3K3"	"CRCW12063K30FKTA"	"Resistor"	"M: 71-CRCW1206-3.3K"

"R26"	"470K"	"CRGP2512F470K"	"Resistor"	"M: 279-CRGP2512F470K"
"R27"	"470K"	"CRGP2512F470K"	"Resistor"	"M: 279-CRGP2512F470K"

"R28"	"5K6"	"CRGCQ1206F5K6"	"Resistor"	"M: 279-CRGCQ1206F5K6"

"R29"	"1K"	"CRM1206A-FX-1001ELF"	"Resistor"	"M: 652-CRM1206AFX1001EL"
"R31"	"1K"	"CRM1206A-FX-1001ELF"	"Resistor"	"M: 652-CRM1206AFX1001EL"

"U1"	"LR8K4-G"	""	"30mA 450V High-Voltage Linear Regulator (Adjustable), TO-252 (D-PAK)"	""
"U2"	"LR8K4-G"	""	"30mA 450V High-Voltage Linear Regulator (Adjustable), TO-252 (D-PAK)"	""
"U3"	"LR8K4-G"	""	"30mA 450V High-Voltage Linear Regulator (Adjustable), TO-252 (D-PAK)"	""
"U4"	"LR8K4-G"	""	"30mA 450V High-Voltage Linear Regulator (Adjustable), TO-252 (D-PAK)"	""

"U5"	"LM317_TO-220"	"LM317TG"	"1.5A 35V Adjustable Linear Regulator, TO-220"	"M: 926-LM317AMDT/NOPB"
"U6"	"LM337_TO220"	"LM337TG"	"Negative 1.5A 35V Adjustable Linear Regulator, TO-220"	"M: 863-LM337TG"
